,summonerName,accountId,summonerLevel,puuid
0,LokiFc,bk1m2_GS-2L9loYOKil6EbsEHnQOCY15LRVByLuQvjf46Cc,291,AvAT9pAFILqL0Eo0kWmFOXug4KyIBh4QprnfHU4Ao2e3BjJLqCJFVdmroRwpcHVvNRFCec_fdW_pPQ
1,lepanta,B6nuFHgma2xw3B4ZYsSQeb38pgQxgajWykeB8OEZHm0sSO8,131,z2NP0f9IPVNevXHBEiZ5wjOHHwmqifJM0St3OpTjgI8xongB5r5mawgbt7_jz9tytWaLcrxc_0gsdA
2,i still hate you,4FnPhlgfii3JW283EbPr2Zl4ZPYoVdk6Qfjc7LIPP8MrZEI,224,CZq0S_gurM-JdaLAI8mZxCHhvxWGSen9ipXUt6QCOkyNDzrUqyxm7MyHCtJoWIkvJsdZxai0lZoBrQ
3,shadyzïn,a3jbDn6LEGapOQp3ecrp3-PS2kUryxZ5NHXzQn40TsOT4tQ,233,wADRcuNbUSKIB1uAIodgtv23LnbyrZZhTY5-TXAuDZoyzfseqcp_MVKLiimYiw56shxYFe4P0UQHMw
4,lagartin safo,hsiTGDBRyGqJ57_rcYgKYy-lnj4HVJJrBnviuc41KuaqsTo,137,XnADRrwXtgMPlKMovnXyUvc31v_1H-0chebhzdZ7piXF31flnH9VcXFjHU9re9nt2RNB3i5dOtAdqg
5,ll1 blessed,KT4JkHYyvEri4rh4b5kirfeTPd15akj0iTlG9sIDjaMdYZo,176,rvSwK7BvhoIxVY_RqHFNEL_9rfngHaFq2N17az_pItmpuTEe_hHoXWNizT01UUr2lx0RPe5J9fcdNA
6,Jao o isquilo,MGJd3GNPK9drCtEYEohm33FqDk_37flSD3MRWjsk_YV64x4,226,8WZWaAOKI5NTQxZ3gizgf5OC4oflMUt879AvSUw3yf5YrS6Y7arnT5ALopEF6Sw_VqPOOCDJ1yETMQ
7,Jägerwolf,gyvL26m7_hv2pSc-X0PixHzCoAvFxkYVrDl4mrWFyoy1358,288,vzY4h3hyrfXfxAwwXXV1Nf44RCbSRJqd1TmUNedWnuVAyT62n-cIqQ3WsCDXXXizeLvfNZG13LnYew
8, before i forget,gpcIgRgo__KkKvrer4y_jKNlGwv47tZyIuixE7qVKWXPZaw,213,zwInVGIe_65AT51mhW6cbI4k1WxB696zZ1_Et1WY1J6AeRTSYmO2KHFZEFEHH1n6QtV8lK05D1ibSw
9,NeymarD,R2rA09OGWpX1H_biVETxr-xBSQh1gHPKbLBvzSY-rwvVQYo,221,spwnUNn9XQRWqHX0nB0nB4IBfrRNo3PObz8_qI6VMhDKkpcxUBKglOVC2Oq_-oTdBu5QW4FJG4ZsWw
