,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,summonerLevel,puuid
0,DIAMONDI,a6XNnr-OC1673HAJaeCorjI1T9Sbe7gYJIBpbsu_CllJIOI,LokiFc,39,192,184,False,False,False,False,bk1m2_GS-2L9loYOKil6EbsEHnQOCY15LRVByLuQvjf46Cc,291,AvAT9pAFILqL0Eo0kWmFOXug4KyIBh4QprnfHU4Ao2e3BjJLqCJFVdmroRwpcHVvNRFCec_fdW_pPQ
1,DIAMONDI,h_TlijF-s3RAtZaCyUVvBvgO-GGVuG60TqH3h7cTGrOKT18,lepanta,96,123,102,False,False,False,False,B6nuFHgma2xw3B4ZYsSQeb38pgQxgajWykeB8OEZHm0sSO8,131,z2NP0f9IPVNevXHBEiZ5wjOHHwmqifJM0St3OpTjgI8xongB5r5mawgbt7_jz9tytWaLcrxc_0gsdA
2,DIAMONDI,8fb8V6VEtBGfFZgq3Fyv3eEJ43UQyIeFOCm0SKEQvgu673M,i still hate you,0,350,298,False,False,False,False,4FnPhlgfii3JW283EbPr2Zl4ZPYoVdk6Qfjc7LIPP8MrZEI,224,CZq0S_gurM-JdaLAI8mZxCHhvxWGSen9ipXUt6QCOkyNDzrUqyxm7MyHCtJoWIkvJsdZxai0lZoBrQ
3,DIAMONDI,alh23IJbh4qXrbhZns-7UZFVrF1z7fUkKaKGUaNcGbM65uA,shadyzïn,16,135,109,False,False,False,False,a3jbDn6LEGapOQp3ecrp3-PS2kUryxZ5NHXzQn40TsOT4tQ,233,wADRcuNbUSKIB1uAIodgtv23LnbyrZZhTY5-TXAuDZoyzfseqcp_MVKLiimYiw56shxYFe4P0UQHMw
4,DIAMONDI,DLlFV0Vyigj3Bm--a-DH-ADL54C8and8CGL_08TiFKU_-ig,lagartin safo,0,137,115,False,False,False,False,hsiTGDBRyGqJ57_rcYgKYy-lnj4HVJJrBnviuc41KuaqsTo,137,XnADRrwXtgMPlKMovnXyUvc31v_1H-0chebhzdZ7piXF31flnH9VcXFjHU9re9nt2RNB3i5dOtAdqg
5,DIAMONDI,UJiGCkdYR_fvDKy9SCqiIbxgCMWMM2FAgBbbljN8mdqZEVo,ll1 blessed,63,215,208,False,False,False,False,KT4JkHYyvEri4rh4b5kirfeTPd15akj0iTlG9sIDjaMdYZo,176,rvSwK7BvhoIxVY_RqHFNEL_9rfngHaFq2N17az_pItmpuTEe_hHoXWNizT01UUr2lx0RPe5J9fcdNA
6,DIAMONDI,UiiT65DVKinZT56Z1AWf7OhSZOgR65hanuQDJrlE9Gnp4FM,Jao o isquilo,30,243,205,False,False,False,False,MGJd3GNPK9drCtEYEohm33FqDk_37flSD3MRWjsk_YV64x4,226,8WZWaAOKI5NTQxZ3gizgf5OC4oflMUt879AvSUw3yf5YrS6Y7arnT5ALopEF6Sw_VqPOOCDJ1yETMQ
7,DIAMONDI,IBMJ428leddYAyBFuTDa7SdbfN6NcMl0hdCnLPD5kH1lUW4,Jägerwolf,0,286,263,False,False,False,False,gyvL26m7_hv2pSc-X0PixHzCoAvFxkYVrDl4mrWFyoy1358,288,vzY4h3hyrfXfxAwwXXV1Nf44RCbSRJqd1TmUNedWnuVAyT62n-cIqQ3WsCDXXXizeLvfNZG13LnYew
8,DIAMONDI,8m1W48hJ3_GsZYP3Q8ANFoL6w7069ipbTSxCFIUdwNqTonM, before i forget,0,285,271,False,False,False,False,gpcIgRgo__KkKvrer4y_jKNlGwv47tZyIuixE7qVKWXPZaw,213,zwInVGIe_65AT51mhW6cbI4k1WxB696zZ1_Et1WY1J6AeRTSYmO2KHFZEFEHH1n6QtV8lK05D1ibSw
9,DIAMONDI,sQITOQgLRWD0fs9_BnOg1bFg5Lo50TyDwQNpWF41fnWGgvM,NeymarD,0,187,158,False,False,False,False,R2rA09OGWpX1H_biVETxr-xBSQh1gHPKbLBvzSY-rwvVQYo,221,spwnUNn9XQRWqHX0nB0nB4IBfrRNo3PObz8_qI6VMhDKkpcxUBKglOVC2Oq_-oTdBu5QW4FJG4ZsWw
10,DIAMONDI,etstNOLThYDA0Fy91YiEO2nMf8faauL1Mb-B9stdREhYXDU,Bolsonara LGBT,75,254,232,False,False,False,False,2fDxntG8tl_C2s-Vy4GrYJIIkmGPlc9OLSEYe2xORSQgkwM,244,439MfyWB5-H3RrnvHoEw4LARCeIt3oZYd6AxxnH_IOQJmc2x23dCBawg_ZEOBsfD4xKoOlvXckvalQ
11,DIAMONDI,hcsrG4jZiNzfQ4quSHAMJuTdjDCfpZDo00QJNA0H6LMFTGc,Pinson,16,103,95,False,False,False,False,atbC6xF6w4Mk7F2YwvK7-sN2qUgKrOk-91yo_CJ68LuAZLI,408,MP6bgOry0Lgzj6tmwMXbWLzTXyrdquKAbaRIyzOrwwGzOBz9drqf-GQwLJfa87bO0naQBqbHe70Hag
12,DIAMONDI,Q_r_TVPvdw6bF7UXx05dYnok_ZAA5OdgXS2U8RlQHz0WLEU,GustavosZERO,0,259,261,False,False,False,False,VcRe5FVU-r3-DsagiY9tTL74SLhiOQJCtl4ZJ5fMqJ6_DbI,176,ek6bus9nXSYyETYyRRl-Q8JcDB0UDE23bP7zT4qFcurswfUaSpYVmQQtfKnpsCdCxLCKRiUICX-A3A
13,DIAMONDI,_MQyVgNx7dWKg5So2WcEVAaM1br6mdgNkhTb_dKEugbvFcA,Doido de Melão,26,328,309,False,False,False,False,nVTDaqcUKnECfLPSuL50m6B2_afuOLGGcB7t3J3ZK8wGEjs,352,A7pw5etYvO0MM06ezAabU46OVl0Q2-Ba7RQTVIB1UtHrbTysyEhmUY06HxoGOP3Zp7Mf_v8RqlGuwg
14,DIAMONDI,_gHh_HniekUUsCUoOFAU3yezCJDEYC9y6KUg_FuB20pq7fA,Pega â Lanterna,36,135,130,False,False,False,False,ucNvFFRQvK0NgXRUgqkjHhJoU7egz5Ct8Vl-IjxLeGFKHS4,201,nAM0l-EVgaefGdmC4Ue0v9uEDcvPrWxwhI0F072iqJVaA5K_yWqM6I5kWqOHovbU4XoLQZ1FhH6aqw
15,DIAMONDI,p2yKylq6neiuzm-mxSjeex9FC0lMem0mIyz_ZCkvDO7h0HQ,buff nami pls,0,285,282,False,False,False,False,YkpfPHj-kb_YneKY4AbSL4SCAl7l0CxANJZwelFHm2CgpL4,353,5l_IKhSMeNCLzVlQzQR0z3p9hs3N47lO1an1baSYBajgm0w9C51ENi7CRUTLGvzejtuF5smwsMX_gg
16,DIAMONDI,NnCuUnCPDNqW003hl9_jKJ0sZwbv1lH2RnZ50vx4TZ1Aj6g,Müca,98,170,133,False,False,False,True,NjeuGhAZ9HqLwWX8TlwKZvXcovkDE3Gor5pWvdU6vM56trs,260,gSdqiWScO9ZCkyCErg1SoQ1sRA1ztpEfX4UNJtYJH38rqyoPfPQVOb6J2T1yQMCeJWNKUh744cbSUg
17,DIAMONDI,NnRgBLKkxS6nYsnYF3jbKgM1kZoyPW6LK5wS0IkMBkVzHEE,love ur smile,80,414,414,False,False,False,True,g3Upu7q-IByj_yHKeTjnDnBNi05Nan8IMvaSt-I6EQ1VLNE,351,_J0e8_awO6R3X9JefPYmNYmSYGjnaoCxW87qJVHYCNVtJcKjeXAYjdwS9jbH2bo8xuzZ5Xy8LY19HA
18,DIAMONDI,wSUZhSQCnLY5sEtzxHO5-MNkBBCPOBFdIDLVItRuSCUHqrk,João Pedro,0,284,261,False,False,False,False,nBeen5BbZTEeIt0dDdDY6fiIa5zW5zZ3EnZsOHEkY_yxRE4,349,E8JOWKKyz1WVQMZOdktIVNjYcMl0z5ft2km8n8yE1Sj-SVBWvH1Dpc2iI6QK8K8QcJPRthbsonPWfg
19,DIAMONDI,uEO43QEgT3KzcNXYabNqrA9DYx61nfM7cMTzisJvk5zf3Cs,Mag0La,100,440,417,True,False,False,False,AuGLAqmPogKlDNYXtaZW7frzqi8fotGamgLziWjWi89nDLQ,333,XBjmnTX4ZElEAhh1QuTHszm0lol342foMClDgLDFwL7_GCO_Jl-IDVLKZIQMVI2Nbios2eHmvYM_Jw
20,DIAMONDI,OGX2KsLselOD-MJhN9txNkcMOKc8JiWk1wQioIng1TPPRJg,tupapi420,75,442,422,False,False,False,False,LgVYIIYJO8eixaBBenuOenDWz77xgTwuRNTF1zazKQWcFQ8,152,1fqfjOEYF4P_cYNOO6JLMoNsVu_1RkOFHA-hfjCfzaV3nuyr5EO0rd-XZf-WCHuhkNX4cy6484uUgQ
21,DIAMONDI,CbnvlhRLII2OBc4v9kgAy-Tt9FincX__eCT0xxG7m22QYtY,kayn tanu veloso,0,220,155,False,False,False,False,OV0nZHVw97yCNdxhqD478nG1z4b7NND5f0M00fiY69hoXDA,72,bx_y08DmmCrD6A6SeIQ4SsXCFVjddvaEbRVDHJ2tfThsRUNGkGmIS9gPAQwGmJ3OTTxNTfpoMoZM6g
22,DIAMONDI,yprNvH2HaDH-94_1UoxK6MluZWVOI_iyZhFxnJyra12IxKM,Snoorky,0,124,84,False,False,False,True,6VtT0YkcfOM1LArllrL9xEt-Xx4I_vI3I2P2tl0okc-duhk,395,lO-FtIoAyQrKWlax73WOXGCBdfVdYHYR4zzKzLdMg1_mSNIOoHsvFpzqmMRr6VamGktUsPUw1XIHyg
23,DIAMONDI,BTT5346fS1znxoF-ybJayeOiR8HzqkJ7yxVuXdbhp73LPdA,criscris tfpn,92,127,106,False,False,False,False,-nnGgtYqeC217FGt8l1NLEa40jZ5DXeWCj5gHfEPOJXTyYU,233,BKOj7nF8Bqsi2VQ_mtgZIGrCb4aF9Lg4qPWtc9HTRQzG218ckbkrdFDQQqG0ZPCzFFmuA3GpcsXs-A
24,DIAMONDI,A65b_pGHKCJLqh42Qy3sVzJyzc8NHOwBVWkL8eEryGEiFuw,Nicolaci,68,124,96,False,False,False,False,PA91kFklL3Y4my3NpqFM1SCfdY8VPCx6TVMfRy4OsXVVRUg,513,9yeG5mjzNagk1wXiM2aa3d3xqY8av-ZQ9Rz3A27ojo_d5ux7clf-wsJonsvpe36TbNYWPidQtpz52g
25,DIAMONDI,26GmaXlW1vLxAIh-3u-Gmz73MJlprTjuKrRBCGZVSwjulrI,huhi,75,66,52,False,False,False,False,QncNvwEifvptI6KWRHUMjqcrK6SBPWogj7QimT_6bDm8m0I,366,DZ7sPg3QhMTJWPD83ggTFEi6lD9uX2ZqC2fyBmVzcvPVeQePapzLZjbSCdw2xXnb3DIjiUxBNtMR3Q
26,DIAMONDI,flG000t8qrwhp2Bnjr2mv9VGBGWaPoIGqUXTYbVP3l1RneY,Irmã do Kevao,43,312,307,False,False,False,False,jTier3wAmGTY-dyYFFAAZmi-Y8bRtec2rRjHomroVdi16J0,358,GqmnExcGhFhp0zeo9G5chdLrzxdAIjEMc2jtGdP5yFa0a-_enNKMnDOd1uHV3jhAZoLDviDXh_cNgw
27,DIAMONDI,fwP5ceyo-Yn29573GynxixPunYV7mP6B15RkG3TOvJBqAIQ,gues ,0,343,306,False,False,False,False,5q8ImtaxE7OlNnZ0UZeCFzYWFbj3FJhsEbVEScatSN85Crg,158,ogWZqecNnwkxq-vm4J-nNevgSs-u6RLb1fL1lXErH1UHeoxy014IbjJZpuAGrBV4jnSc3aCGVCuMhA
