accountId,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,summonerLevel,puuid,win_rate
bk1m2_GS-2L9loYOKil6EbsEHnQOCY15LRVByLuQvjf46Cc,DIAMONDI,a6XNnr-OC1673HAJaeCorjI1T9Sbe7gYJIBpbsu_CllJIOI,LokiFc,39,192,184,False,False,False,False,291,AvAT9pAFILqL0Eo0kWmFOXug4KyIBh4QprnfHU4Ao2e3BjJLqCJFVdmroRwpcHVvNRFCec_fdW_pPQ,0.5106382978723404
B6nuFHgma2xw3B4ZYsSQeb38pgQxgajWykeB8OEZHm0sSO8,DIAMONDI,h_TlijF-s3RAtZaCyUVvBvgO-GGVuG60TqH3h7cTGrOKT18,lepanta,96,123,102,False,False,False,False,131,z2NP0f9IPVNevXHBEiZ5wjOHHwmqifJM0St3OpTjgI8xongB5r5mawgbt7_jz9tytWaLcrxc_0gsdA,0.5466666666666666
4FnPhlgfii3JW283EbPr2Zl4ZPYoVdk6Qfjc7LIPP8MrZEI,DIAMONDI,8fb8V6VEtBGfFZgq3Fyv3eEJ43UQyIeFOCm0SKEQvgu673M,i still hate you,0,350,298,False,False,False,False,224,CZq0S_gurM-JdaLAI8mZxCHhvxWGSen9ipXUt6QCOkyNDzrUqyxm7MyHCtJoWIkvJsdZxai0lZoBrQ,0.5401234567901234
a3jbDn6LEGapOQp3ecrp3-PS2kUryxZ5NHXzQn40TsOT4tQ,DIAMONDI,alh23IJbh4qXrbhZns-7UZFVrF1z7fUkKaKGUaNcGbM65uA,shadyzïn,16,135,109,False,False,False,False,233,wADRcuNbUSKIB1uAIodgtv23LnbyrZZhTY5-TXAuDZoyzfseqcp_MVKLiimYiw56shxYFe4P0UQHMw,0.5532786885245902
hsiTGDBRyGqJ57_rcYgKYy-lnj4HVJJrBnviuc41KuaqsTo,DIAMONDI,DLlFV0Vyigj3Bm--a-DH-ADL54C8and8CGL_08TiFKU_-ig,lagartin safo,0,137,115,False,False,False,False,137,XnADRrwXtgMPlKMovnXyUvc31v_1H-0chebhzdZ7piXF31flnH9VcXFjHU9re9nt2RNB3i5dOtAdqg,0.5436507936507936
KT4JkHYyvEri4rh4b5kirfeTPd15akj0iTlG9sIDjaMdYZo,DIAMONDI,UJiGCkdYR_fvDKy9SCqiIbxgCMWMM2FAgBbbljN8mdqZEVo,ll1 blessed,63,215,208,False,False,False,False,176,rvSwK7BvhoIxVY_RqHFNEL_9rfngHaFq2N17az_pItmpuTEe_hHoXWNizT01UUr2lx0RPe5J9fcdNA,0.508274231678487
MGJd3GNPK9drCtEYEohm33FqDk_37flSD3MRWjsk_YV64x4,DIAMONDI,UiiT65DVKinZT56Z1AWf7OhSZOgR65hanuQDJrlE9Gnp4FM,Jao o isquilo,30,243,205,False,False,False,False,226,8WZWaAOKI5NTQxZ3gizgf5OC4oflMUt879AvSUw3yf5YrS6Y7arnT5ALopEF6Sw_VqPOOCDJ1yETMQ,0.5424107142857143
gyvL26m7_hv2pSc-X0PixHzCoAvFxkYVrDl4mrWFyoy1358,DIAMONDI,IBMJ428leddYAyBFuTDa7SdbfN6NcMl0hdCnLPD5kH1lUW4,Jägerwolf,0,286,263,False,False,False,False,288,vzY4h3hyrfXfxAwwXXV1Nf44RCbSRJqd1TmUNedWnuVAyT62n-cIqQ3WsCDXXXizeLvfNZG13LnYew,0.5209471766848816
gpcIgRgo__KkKvrer4y_jKNlGwv47tZyIuixE7qVKWXPZaw,DIAMONDI,8m1W48hJ3_GsZYP3Q8ANFoL6w7069ipbTSxCFIUdwNqTonM, before i forget,0,285,271,False,False,False,False,213,zwInVGIe_65AT51mhW6cbI4k1WxB696zZ1_Et1WY1J6AeRTSYmO2KHFZEFEHH1n6QtV8lK05D1ibSw,0.512589928057554
R2rA09OGWpX1H_biVETxr-xBSQh1gHPKbLBvzSY-rwvVQYo,DIAMONDI,sQITOQgLRWD0fs9_BnOg1bFg5Lo50TyDwQNpWF41fnWGgvM,NeymarD,0,187,158,False,False,False,False,221,spwnUNn9XQRWqHX0nB0nB4IBfrRNo3PObz8_qI6VMhDKkpcxUBKglOVC2Oq_-oTdBu5QW4FJG4ZsWw,0.5420289855072464
2fDxntG8tl_C2s-Vy4GrYJIIkmGPlc9OLSEYe2xORSQgkwM,DIAMONDI,etstNOLThYDA0Fy91YiEO2nMf8faauL1Mb-B9stdREhYXDU,Bolsonara LGBT,75,254,232,False,False,False,False,244,439MfyWB5-H3RrnvHoEw4LARCeIt3oZYd6AxxnH_IOQJmc2x23dCBawg_ZEOBsfD4xKoOlvXckvalQ,0.522633744855967
atbC6xF6w4Mk7F2YwvK7-sN2qUgKrOk-91yo_CJ68LuAZLI,DIAMONDI,hcsrG4jZiNzfQ4quSHAMJuTdjDCfpZDo00QJNA0H6LMFTGc,Pinson,16,103,95,False,False,False,False,408,MP6bgOry0Lgzj6tmwMXbWLzTXyrdquKAbaRIyzOrwwGzOBz9drqf-GQwLJfa87bO0naQBqbHe70Hag,0.5202020202020202
VcRe5FVU-r3-DsagiY9tTL74SLhiOQJCtl4ZJ5fMqJ6_DbI,DIAMONDI,Q_r_TVPvdw6bF7UXx05dYnok_ZAA5OdgXS2U8RlQHz0WLEU,GustavosZERO,0,259,261,False,False,False,False,176,ek6bus9nXSYyETYyRRl-Q8JcDB0UDE23bP7zT4qFcurswfUaSpYVmQQtfKnpsCdCxLCKRiUICX-A3A,0.4980769230769231
nVTDaqcUKnECfLPSuL50m6B2_afuOLGGcB7t3J3ZK8wGEjs,DIAMONDI,_MQyVgNx7dWKg5So2WcEVAaM1br6mdgNkhTb_dKEugbvFcA,Doido de Melão,26,328,309,False,False,False,False,352,A7pw5etYvO0MM06ezAabU46OVl0Q2-Ba7RQTVIB1UtHrbTysyEhmUY06HxoGOP3Zp7Mf_v8RqlGuwg,0.5149136577708007
ucNvFFRQvK0NgXRUgqkjHhJoU7egz5Ct8Vl-IjxLeGFKHS4,DIAMONDI,_gHh_HniekUUsCUoOFAU3yezCJDEYC9y6KUg_FuB20pq7fA,Pega â Lanterna,36,135,130,False,False,False,False,201,nAM0l-EVgaefGdmC4Ue0v9uEDcvPrWxwhI0F072iqJVaA5K_yWqM6I5kWqOHovbU4XoLQZ1FhH6aqw,0.5094339622641509
YkpfPHj-kb_YneKY4AbSL4SCAl7l0CxANJZwelFHm2CgpL4,DIAMONDI,p2yKylq6neiuzm-mxSjeex9FC0lMem0mIyz_ZCkvDO7h0HQ,buff nami pls,0,285,282,False,False,False,False,353,5l_IKhSMeNCLzVlQzQR0z3p9hs3N47lO1an1baSYBajgm0w9C51ENi7CRUTLGvzejtuF5smwsMX_gg,0.5026455026455027
NjeuGhAZ9HqLwWX8TlwKZvXcovkDE3Gor5pWvdU6vM56trs,DIAMONDI,NnCuUnCPDNqW003hl9_jKJ0sZwbv1lH2RnZ50vx4TZ1Aj6g,Müca,98,170,133,False,False,False,True,260,gSdqiWScO9ZCkyCErg1SoQ1sRA1ztpEfX4UNJtYJH38rqyoPfPQVOb6J2T1yQMCeJWNKUh744cbSUg,0.5610561056105611
g3Upu7q-IByj_yHKeTjnDnBNi05Nan8IMvaSt-I6EQ1VLNE,DIAMONDI,NnRgBLKkxS6nYsnYF3jbKgM1kZoyPW6LK5wS0IkMBkVzHEE,love ur smile,80,414,414,False,False,False,True,351,_J0e8_awO6R3X9JefPYmNYmSYGjnaoCxW87qJVHYCNVtJcKjeXAYjdwS9jbH2bo8xuzZ5Xy8LY19HA,0.5
nBeen5BbZTEeIt0dDdDY6fiIa5zW5zZ3EnZsOHEkY_yxRE4,DIAMONDI,wSUZhSQCnLY5sEtzxHO5-MNkBBCPOBFdIDLVItRuSCUHqrk,João Pedro,0,284,261,False,False,False,False,349,E8JOWKKyz1WVQMZOdktIVNjYcMl0z5ft2km8n8yE1Sj-SVBWvH1Dpc2iI6QK8K8QcJPRthbsonPWfg,0.5211009174311927
AuGLAqmPogKlDNYXtaZW7frzqi8fotGamgLziWjWi89nDLQ,DIAMONDI,uEO43QEgT3KzcNXYabNqrA9DYx61nfM7cMTzisJvk5zf3Cs,Mag0La,100,440,417,True,False,False,False,333,XBjmnTX4ZElEAhh1QuTHszm0lol342foMClDgLDFwL7_GCO_Jl-IDVLKZIQMVI2Nbios2eHmvYM_Jw,0.5134189031505251
