tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
DIAMONDI,a6XNnr-OC1673HAJaeCorjI1T9Sbe7gYJIBpbsu_CllJIOI,LokiFc,39,192,184,False,False,False,False
DIAMONDI,h_TlijF-s3RAtZaCyUVvBvgO-GGVuG60TqH3h7cTGrOKT18,lepanta,96,123,102,False,False,False,False
DIAMONDI,8fb8V6VEtBGfFZgq3Fyv3eEJ43UQyIeFOCm0SKEQvgu673M,i still hate you,0,350,298,False,False,False,False
DIAMONDI,alh23IJbh4qXrbhZns-7UZFVrF1z7fUkKaKGUaNcGbM65uA,shadyzïn,16,135,109,False,False,False,False
DIAMONDI,DLlFV0Vyigj3Bm--a-DH-ADL54C8and8CGL_08TiFKU_-ig,lagartin safo,0,137,115,False,False,False,False
DIAMONDI,UJiGCkdYR_fvDKy9SCqiIbxgCMWMM2FAgBbbljN8mdqZEVo,ll1 blessed,63,215,208,False,False,False,False
DIAMONDI,UiiT65DVKinZT56Z1AWf7OhSZOgR65hanuQDJrlE9Gnp4FM,Jao o isquilo,30,243,205,False,False,False,False
DIAMONDI,IBMJ428leddYAyBFuTDa7SdbfN6NcMl0hdCnLPD5kH1lUW4,Jägerwolf,0,286,263,False,False,False,False
DIAMONDI,8m1W48hJ3_GsZYP3Q8ANFoL6w7069ipbTSxCFIUdwNqTonM, before i forget,0,285,271,False,False,False,False
DIAMONDI,sQITOQgLRWD0fs9_BnOg1bFg5Lo50TyDwQNpWF41fnWGgvM,NeymarD,0,187,158,False,False,False,False
DIAMONDI,etstNOLThYDA0Fy91YiEO2nMf8faauL1Mb-B9stdREhYXDU,Bolsonara LGBT,75,254,232,False,False,False,False
DIAMONDI,hcsrG4jZiNzfQ4quSHAMJuTdjDCfpZDo00QJNA0H6LMFTGc,Pinson,16,103,95,False,False,False,False
DIAMONDI,Q_r_TVPvdw6bF7UXx05dYnok_ZAA5OdgXS2U8RlQHz0WLEU,GustavosZERO,0,259,261,False,False,False,False
